de	3199607
la	1831043
le	1472453
à	1192292
et	1165366
les	1146437
des	943173
en	890939
du	692117
un	572807
a	540616
pour	536648
dans	511160
une	497463
est	481144
que	426761
qui	407093
au	396238
il	395943
par	370907
sur	333282
ce	290979
pas	280074
plus	266747
son	251866
se	249070
avec	234658
sont	216900
ne	203628
été	191206
ont	180835
cette	169309
mais	160527
sa	157148
aux	149925
ses	136426
ou	126818
elle	124545
nous	122637
on	118765
deux	117820
comme	115474
fait	113149
leur	105480
ces	100136
tout	90515
après	86986
je	86746
même	85177
aussi	82442
depuis	79043
c’est	78692
être	76506
ans	76043
lui	76035
l	72923
entre	71605
faire	71035
si	69283
ils	69061
très	67502
pays	66269
bien	64762
était	63483
avait	63204
alors	60267
sans	59527
tous	57837
d'un	57702
c'est	56583
également	56526
contre	55740
selon	54783
ainsi	54365
où	54208
d'une	53852
dont	52830
premier	52643
leurs	52421
peut	52173
d’un	52032
encore	50957
vous	49763
d’une	49691
plusieurs	49354
avant	49235
trois	47926
lors	47524
président	46947
france	45312	name
cas	45055
peu	44898
temps	44152
avoir	43964
monde	43906
sera	43324
personnes	43065
sous	42719
première	42510
y	41829
place	41683
donc	41101
fois	41079
fin	40053
moins	39974
mois	39249
qu’il	39079
qu'il	38576
dernier	38275
cela	37933
partie	37622
autres	36291
toujours	35532
gouvernement	35342
soit	35129
ville	34943
notre	34893
ministre	34755
nouveau	34667
déjà	34519
d	34281
vie	33639
va	33440
années	33252
groupe	32551
vers	32430
quelques	32144
cet	31789
grand	30839
pendant	30677
jours	30669
non	30486
nouvelle	30182
notamment	29995
car	29785
jour	29683
nombre	29264
doit	29081
cours	29032
n’est	28913
faut	28397
face	28252
politique	28141
nos	28048
chaque	27721
toutes	27666
toute	27498
début	27475
certains	27457
quand	27256
m	27087
français	27046
lieu	26998
dit	26952
covid	26590	name
beaucoup	26582
grande	26463
h	26333
s’est	26095
millions	25912
chez	25793
reste	25786
ça	25643
autre	25520
travail	25345
nom	25169
santé	25113
quatre	25103
n'est	24684
afin	24403
compte	24132
puis	23786
fut	23758
suite	23696
près	23540
projet	23263
étaient	23223
part	23102
pouvoir	23085
n’a	23071
situation	22958
famille	22777
conseil	22483
enfants	22398
dès	22185
e	22040
crise	22033
centre	22000
jamais	21838
effet	21835
devant	21706
coronavirus	21667
saison	21523
société	21500
paris	21403
année	21297
niveau	21207
elles	21063
me	21015
eu	21014
partir	20828
lundi	20818
région	20758
général	20674
chef	20562
mis	20496
vendredi	20259
heures	20192
prix	20178
s'est	20177
peuvent	20158
côté	20153
commune	20139
tour	20131
mars	20064
nationale	20037
jeune	19896
point	19856
moment	19575
nombreux	19515
seront	19487
mardi	19466
mort	19453
ceux	19422
jeunes	19338
semaine	19334
samedi	19177
voir	19141
public	19120
rien	19056
dernière	19053
jeudi	18971
raison	18952
dimanche	18834
deuxième	18619
pris	18534
souvent	18428
durant	18276
n'a	18238
prendre	18179
mesures	18117
avons	18090
celui	18063
mercredi	18039
sécurité	18000
cinq	17990
mise	17953
tant	17952
là	17911
membres	17796
ensuite	17760
maison	17713
période	17623
service	17605
cependant	17580
parti	17577
guerre	17574
mettre	17501
club	17454
police	17344
jeu	17306
rapport	17222
droit	17116
juin	17054
annoncé	16985
eux	16825
suis	16707
titre	16619
j’ai	16573
demande	16572
seul	16548
population	16521
tête	16519
plan	16389
ligne	16378
permet	16320
personne	16305
système	16279
avaient	16214
surtout	16121
mai	16068
femme	16065
femmes	16057
question	16009
pourrait	15947
national	15879
mon	15874
sud	15853
nord	15845
dire	15737
tard	15722
septembre	15693
malgré	15671
site	15652
soir	15645
déclaré	15525
grâce	15522
celle	15519
trop	15438
cause	15437
développement	15422
désormais	15358
retour	15294
janvier	15278
petit	15189
seulement	15096
loi	15087
serait	15086
juillet	15051
père	15027
aurait	14959
gens	14908
novembre	14908
d’autres	14811
nouvelles	14766
ni	14754
pu	14715
parmi	14695
directeur	14630
forme	14621
services	14588
font	14570
marché	14569
d'autres	14551
trouve	14510
hommes	14500
aujourd’hui	14476
nouveaux	14416
cadre	14409
bon	14395
octobre	14212
veut	14207
homme	14184
