# SPDX-License-Identifier: GPL-3.0-or-later
# SPDX-FileCopyrightText: 2026 BorderKeys contributors
#
# Apostrophe spellings restored when the bare one is committed. Generated by
# tools/make_contractions.py from this language's own word counts -- do not edit by hand.
#
# typed<TAB>written<TAB>other languages whose own vocabulary holds the typed spelling
assassins	assassin's	en-US,fr-FR
christies	christie's	
dampezzo	d'ampezzo	
gabs	gab's	
gehts	geht's	
germanys	germany's	
gings	ging's	
hats	hat's	en-US
mcdonalds	mcdonald's	en-US,es-ES,ro-RO
moodys	moody's	
obrien	o'brien	
oneill	o'neill	
rocknroll	rock'n'roll	
sothebys	sotheby's	
