TcnEncoder: 629,601 parameters
epoch 1/120: loss 6.2745
epoch 2/120: loss 3.9090
epoch 3/120: loss 3.7304
epoch 4/120: loss 3.1633
epoch 5/120: loss 3.0618
=== restart Fri Sep 11 23:06:45 EEST 2026 ===
TcnEncoder: 629,601 parameters
=== restart (detached, no harness task tracking) Fri Sep 11 23:10:12 EEST 2026 ===
TcnEncoder: 629,601 parameters
epoch 1/120: loss 5.9031
epoch 2/120: loss 4.3801
epoch 3/120: loss 3.7752
epoch 4/120: loss 3.1394
epoch 5/120: loss 3.0618
epoch 6/120: loss 2.9787
epoch 7/120: loss 2.7195
epoch 8/120: loss 2.5518
epoch 9/120: loss 2.3496
epoch 10/120: loss 2.1735
epoch 11/120: loss 2.0119
epoch 12/120: loss 1.8937
epoch 13/120: loss 1.7972
epoch 14/120: loss 1.7155
epoch 15/120: loss 1.6425
epoch 16/120: loss 1.5833
epoch 17/120: loss 1.5337
epoch 18/120: loss 1.4815
epoch 19/120: loss 1.4347
epoch 20/120: loss 1.3962
epoch 21/120: loss 1.3567
epoch 22/120: loss 1.3255
epoch 23/120: loss 1.2987
epoch 24/120: loss 1.2711
epoch 25/120: loss 1.2519
epoch 26/120: loss 1.2305
epoch 27/120: loss 1.2110
epoch 28/120: loss 1.1952
epoch 29/120: loss 1.1777
epoch 30/120: loss 1.1625
epoch 31/120: loss 1.1500
epoch 32/120: loss 1.1363
epoch 33/120: loss 1.1278
epoch 34/120: loss 1.1164
epoch 35/120: loss 1.1063
epoch 36/120: loss 1.0955
epoch 37/120: loss 1.0857
epoch 38/120: loss 1.0775
epoch 39/120: loss 1.0701
epoch 40/120: loss 1.0632
epoch 41/120: loss 1.0529
epoch 42/120: loss 1.0467
epoch 43/120: loss 1.0387
epoch 44/120: loss 1.0367
epoch 45/120: loss 1.0285
epoch 46/120: loss 1.0206
epoch 47/120: loss 1.0159
epoch 48/120: loss 1.0107
epoch 49/120: loss 1.0053
epoch 50/120: loss 1.0012
epoch 51/120: loss 0.9938
epoch 52/120: loss 0.9883
epoch 53/120: loss 0.9858
epoch 54/120: loss 0.9800
epoch 55/120: loss 0.9752
epoch 56/120: loss 0.9711
epoch 57/120: loss 0.9646
epoch 58/120: loss 0.9615
epoch 59/120: loss 0.9558
epoch 60/120: loss 0.9546
epoch 61/120: loss 0.9501
epoch 62/120: loss 0.9467
epoch 63/120: loss 0.9406
epoch 64/120: loss 0.9386
epoch 65/120: loss 0.9369
epoch 66/120: loss 0.9326
epoch 67/120: loss 0.9278
epoch 68/120: loss 0.9255
epoch 69/120: loss 0.9222
epoch 70/120: loss 0.9179
epoch 71/120: loss 0.9152
epoch 72/120: loss 0.9135
epoch 73/120: loss 0.9093
epoch 74/120: loss 0.9056
epoch 75/120: loss 0.9036
epoch 76/120: loss 0.9010
epoch 77/120: loss 0.8980
epoch 78/120: loss 0.8963
epoch 79/120: loss 0.8926
epoch 80/120: loss 0.8899
epoch 81/120: loss 0.8880
epoch 82/120: loss 0.8851
epoch 83/120: loss 0.8832
epoch 84/120: loss 0.8817
epoch 85/120: loss 0.8784
epoch 86/120: loss 0.8765
epoch 87/120: loss 0.8735
epoch 88/120: loss 0.8710
epoch 89/120: loss 0.8699
epoch 90/120: loss 0.8678
epoch 91/120: loss 0.8657
epoch 92/120: loss 0.8627
epoch 93/120: loss 0.8618
epoch 94/120: loss 0.8606
epoch 95/120: loss 0.8589
epoch 96/120: loss 0.8577
epoch 97/120: loss 0.8547
epoch 98/120: loss 0.8538
epoch 99/120: loss 0.8519
epoch 100/120: loss 0.8519
epoch 101/120: loss 0.8510
epoch 102/120: loss 0.8488
epoch 103/120: loss 0.8466
epoch 104/120: loss 0.8464
epoch 105/120: loss 0.8449
epoch 106/120: loss 0.8443
epoch 107/120: loss 0.8433
epoch 108/120: loss 0.8425
epoch 109/120: loss 0.8411
epoch 110/120: loss 0.8408
epoch 111/120: loss 0.8407
epoch 112/120: loss 0.8393
epoch 113/120: loss 0.8388
epoch 114/120: loss 0.8388
epoch 115/120: loss 0.8379
epoch 116/120: loss 0.8374
epoch 117/120: loss 0.8369
epoch 118/120: loss 0.8374
epoch 119/120: loss 0.8370
epoch 120/120: loss 0.8368
